niche_a,niche_b,keyword_j,subtopic_j,name_desc_j,content_slug_j,combined,recommendation
us-state-privacy,international-privacy,0.000,0.000,0.235,0.500,0.274,REVIEW
online-shopping,online-banking,0.000,0.000,0.182,0.500,0.268,REVIEW
online-shopping,search-history,0.000,0.000,0.167,0.500,0.267,REVIEW
incognito-mode,digital-footprint,0.000,0.000,0.067,0.500,0.257,REVIEW
incognito-mode,encrypted-messaging,0.000,0.000,0.067,0.500,0.257,REVIEW
social-media-privacy,drone-surveillance,0.000,0.000,0.071,0.500,0.257,REVIEW
incognito-mode,device-fingerprinting,0.000,0.000,0.000,0.500,0.250,REVIEW
incognito-mode,social-media-privacy,0.000,0.000,0.000,0.500,0.250,REVIEW
incognito-mode,drone-surveillance,0.000,0.000,0.000,0.500,0.250,REVIEW
device-fingerprinting,digital-footprint,0.000,0.000,0.000,0.500,0.250,REVIEW
device-fingerprinting,encrypted-messaging,0.000,0.000,0.000,0.500,0.250,REVIEW
device-fingerprinting,social-media-privacy,0.000,0.000,0.000,0.500,0.250,REVIEW
device-fingerprinting,drone-surveillance,0.000,0.000,0.000,0.500,0.250,REVIEW
digital-footprint,encrypted-messaging,0.000,0.000,0.000,0.500,0.250,REVIEW
digital-footprint,social-media-privacy,0.000,0.000,0.000,0.500,0.250,REVIEW
digital-footprint,drone-surveillance,0.000,0.000,0.000,0.500,0.250,REVIEW
encrypted-messaging,social-media-privacy,0.000,0.000,0.000,0.500,0.250,REVIEW
encrypted-messaging,drone-surveillance,0.000,0.000,0.000,0.500,0.250,REVIEW
online-banking,search-history,0.000,0.000,0.000,0.500,0.250,REVIEW
browser-privacy,social-media-privacy,0.000,0.000,0.118,0.462,0.243,monitor
incognito-mode,browser-privacy,0.000,0.000,0.059,0.462,0.237,monitor
browser-privacy,device-fingerprinting,0.000,0.000,0.063,0.462,0.237,monitor
browser-privacy,drone-surveillance,0.000,0.000,0.067,0.462,0.237,monitor
browser-privacy,digital-footprint,0.000,0.000,0.000,0.462,0.231,monitor
browser-privacy,encrypted-messaging,0.000,0.000,0.000,0.462,0.231,monitor
social-media-privacy,search-history,0.000,0.000,0.231,0.286,0.166,monitor
social-media-privacy,online-shopping,0.000,0.000,0.143,0.286,0.157,monitor
online-shopping,drone-surveillance,0.000,0.000,0.083,0.286,0.151,monitor
drone-surveillance,search-history,0.000,0.000,0.083,0.286,0.151,monitor
digital-footprint,search-history,0.000,0.000,0.071,0.286,0.150,monitor
incognito-mode,online-shopping,0.000,0.000,0.000,0.286,0.143,monitor
incognito-mode,online-banking,0.000,0.000,0.000,0.286,0.143,monitor
incognito-mode,search-history,0.000,0.000,0.000,0.286,0.143,monitor
device-fingerprinting,online-shopping,0.000,0.000,0.000,0.286,0.143,monitor
device-fingerprinting,online-banking,0.000,0.000,0.000,0.286,0.143,monitor
device-fingerprinting,search-history,0.000,0.000,0.000,0.286,0.143,monitor
digital-footprint,online-shopping,0.000,0.000,0.000,0.286,0.143,monitor
digital-footprint,online-banking,0.000,0.000,0.000,0.286,0.143,monitor
encrypted-messaging,online-shopping,0.000,0.000,0.000,0.286,0.143,monitor
encrypted-messaging,online-banking,0.000,0.000,0.000,0.286,0.143,monitor
encrypted-messaging,search-history,0.000,0.000,0.000,0.286,0.143,monitor
social-media-privacy,online-banking,0.000,0.000,0.000,0.286,0.143,monitor
online-banking,drone-surveillance,0.000,0.000,0.000,0.286,0.143,monitor
browser-privacy,online-shopping,0.000,0.000,0.063,0.267,0.140,monitor
browser-privacy,search-history,0.000,0.000,0.063,0.267,0.140,monitor
browser-privacy,online-banking,0.000,0.000,0.000,0.267,0.133,monitor
