file,json_path,context
data/checklists/ad-tracking/ad-tracking-targeted-advertising-privacy-hardening-checklist.json,sections[0].items[4].howTo,Use Ctrl+Shift+N (Chrome) or Ctrl+Shift+P (Firefox) for private windows. Consider Incognito Browser for enhanced privacy protection.
data/checklists/ad-tracking/ad-tracking-targeted-advertising-privacy-hardening-checklist.json,pro_tips[2],Consider using Incognito Browser or other privacy-focused browsers that block tracking by default instead of relying on browser extensions.
data/checklists/ad-tracking/ad-tracking-targeted-advertising-security-checklist.json,sections[0].items[4].howTo,Use Ctrl+Shift+N for Chrome incognito or Ctrl+Shift+P for Firefox private browsing. Consider Incognito Browser for enhanced privacy protection with built-in ad blocking.
data/checklists/ad-tracking/ad-tracking-targeted-advertising-security-checklist.json,sections[1].items[1].howTo,"Download browsers like Incognito Browser, Firefox with strict settings, or Brave. These block trackers by default and don't send data to advertising companies."
data/checklists/ad-tracking/ad-tracking-targeted-advertising-security-checklist.json,sections[3].items[4].howTo,Firefox: about:config > privacy.resistFingerprinting = true. Use browsers like Incognito Browser or Tor Browser that have built-in fingerprinting protection.
data/checklists/ad-tracking/ad-tracking-targeted-advertising-security-checklist.json,pro_tips[3],Consider using Incognito Browser as your daily driver - it comes with built-in ad blocking and tracking protection enabled by default.
data/checklists/ad-tracking/ad-tracking-targeted-advertising-security-checklist.json,relatedLinks[1].title,Incognito Browser - Privacy Browser
data/checklists/ai-privacy/ai-machine-learning-privacy-privacy-hardening-checklist.json,sections[0].items[4].howTo,Use Incognito Browser or similar privacy-focused browsers when accessing AI tools. Enable strict tracking protection and disable third-party cookies.
data/checklists/ai-privacy/ai-machine-learning-privacy-privacy-hardening-checklist.json,pro_tips[3],Use Incognito Browser with strict privacy settings when accessing AI tools to minimize tracking and fingerprinting across sessions.
data/checklists/ai-privacy/ai-machine-learning-privacy-privacy-hardening-checklist.json,relatedLinks[4].title,Incognito Browser
data/checklists/ai-privacy/ai-machine-learning-privacy-security-checklist.json,sections[0].items[5].howTo,Use Incognito Browser or private browsing mode when accessing AI tools. Consider using separate browser profiles or containers for AI platforms.
data/checklists/ai-privacy/ai-machine-learning-privacy-security-checklist.json,pro_tips[1],Use Incognito Browser when experimenting with new AI tools to prevent tracking cookies and behavioral profiling.
data/checklists/browser-extensions/browser-extensions-privacy-add-ons-privacy-hardening-checklist.json,pro_tips[0],Use Incognito Browser as your default for maximum privacy - it includes many of these protections built-in without needing multiple extensions.
data/checklists/browser-extensions/browser-extensions-privacy-add-ons-security-checklist.json,sections[2].items[2].howTo,Disable extensions one by one if experiencing issues. Use browser task manager to identify resource-heavy extensions. Consider Incognito Browser for conflict-free browsing.
data/checklists/browser-extensions/browser-extensions-privacy-add-ons-security-checklist.json,sections[2].items[4].howTo,"Test privacy-focused browsers like Incognito Browser, Firefox with strict settings, or Brave. Compare built-in blocking vs. extension-based protection."
data/checklists/browser-extensions/browser-extensions-privacy-add-ons-security-checklist.json,pro_tips[3],Consider using Incognito Browser as your primary browser - it has built-in privacy features that reduce the need for multiple extensions.
data/checklists/browser-privacy/browser-privacy-privacy-hardening-checklist.json,sections[0].items[6].howTo,"Change default search to DuckDuckGo, Startpage, or Searx. Chrome: Settings > Search engine > Manage search engines. Firefox: Settings > Search > Default Search Engine. Consider Incognito Browser for enhanced privacy."
data/checklists/browser-privacy/browser-privacy-privacy-hardening-checklist.json,sections[1].items[5].howTo,Firefox: Enable resistFingerprinting in about:config. Chrome: Install User-Agent Switcher extension. Consider browsers like Incognito Browser that minimize fingerprinting by default.
